Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,ave,upper,lower
2017-05-15,SONATSOFTW,EQ,163.6,164.9,165.0,162.1,162.45,162.65,163.09,53383,8706165.55,1251,35924,67.29,5,2017,162.65000000000003,0.0,Slight or No change,,,
2017-05-16,SONATSOFTW,EQ,162.65,163.0,163.95,158.0,158.5,158.6,160.17,270635,43346778.55,5672,155739,57.55,5,2017,159.26725043053162,-0.02490009222256384,Slight or No change,,,
2017-05-17,SONATSOFTW,EQ,158.6,158.5,159.85,157.55,158.0,158.25,158.62,56955,9034082.85,1206,37437,65.73,5,2017,159.11517272877606,-0.002206809583858771,Slight or No change,,,
2017-05-18,SONATSOFTW,EQ,158.25,158.25,161.75,156.55,156.75,157.4,158.69,169341,26872646.85,3728,85633,50.57,5,2017,158.58738483847404,-0.005371248025276443,Slight or No change,,,
2017-05-19,SONATSOFTW,EQ,157.4,156.6,159.0,150.3,151.7,151.9,154.0,167554,25803272.65,2082,117644,70.21,5,2017,157.02651559896807,-0.03494282083862765,Slight or No change,,,
2017-05-22,SONATSOFTW,EQ,151.9,153.4,153.4,150.0,150.05,150.45,151.17,111525,16859640.15,3503,75527,67.72,5,2017,156.14219911429203,-0.009545753785385249,Slight or No change,,,
2017-05-23,SONATSOFTW,EQ,150.45,150.0,150.25,144.55,146.5,146.05,146.52,220787,32349931.1,6312,156354,70.82,5,2017,154.02044249557218,-0.029245596543702068,Slight or No change,,,
2017-05-24,SONATSOFTW,EQ,146.05,147.0,148.0,143.85,144.0,146.0,145.99,143541,20955344.85,2590,86947,60.57,5,2017,153.05601082665046,-0.000342348510784074,Slight or No change,,,
2017-05-25,SONATSOFTW,EQ,146.0,144.0,150.45,143.0,150.0,149.65,147.2,152779,22489070.0,3115,103014,67.43,5,2017,152.6695519123654,0.02500000000000013,Slight or No change,,,
2017-05-26,SONATSOFTW,EQ,149.65,150.0,153.0,146.6,149.45,149.65,148.98,166213,24762185.3,4221,101839,61.27,5,2017,152.33777134195316,0.0,Slight or No change,,,
2017-05-29,SONATSOFTW,EQ,149.65,151.6,152.7,148.0,149.9,148.6,150.28,97412,14638594.6,2008,67754,69.55,5,2017,152.11163748156196,-0.0070163715335784796,Slight or No change,,,
2017-05-30,SONATSOFTW,EQ,148.6,152.9,152.9,148.75,149.65,149.8,150.3,116285,17477665.15,2562,77761,66.87,5,2017,151.95593358472203,0.008075370121130687,Slight or No change,,,
2017-05-31,SONATSOFTW,EQ,149.8,149.7,152.05,147.6,150.0,148.95,149.57,138676,20742097.0,2583,100020,72.12,5,2017,151.73243137313773,-0.0056742323097465075,Slight or No change,,,
2017-06-01,SONATSOFTW,EQ,148.95,147.5,157.25,147.5,153.5,153.05,153.01,972944,148866179.5,10993,798433,82.06,6,2017,152.18412515019222,0.027526015441423413,Slight or No change,152.214,162.386,142.043
2017-06-02,SONATSOFTW,EQ,153.05,155.05,163.7,153.1,160.0,159.35,159.14,473285,75320366.85,10671,260370,55.01,6,2017,153.20834093101988,0.0411630186213654,Slight or No change,151.979,161.218,142.739
2017-06-05,SONATSOFTW,EQ,159.35,160.1,166.8,159.95,162.5,162.9,163.77,207187,33930200.95,4618,86285,41.65,6,2017,153.77903430209787,0.02227800439284611,Slight or No change,152.286,162.687,141.885
2017-06-06,SONATSOFTW,EQ,162.9,163.9,168.5,161.0,164.0,164.1,165.84,273667,45384942.6,5480,119759,43.76,6,2017,154.5238607377467,0.007366482504604033,Slight or No change,152.704,164.511,140.896
2017-06-07,SONATSOFTW,EQ,164.1,164.95,168.7,159.0,159.9,160.75,163.8,392254,64252314.75,6905,138758,35.37,6,2017,155.10750823948726,-0.02041438147471053,Slight or No change,152.943,165.284,140.601
2017-06-08,SONATSOFTW,EQ,160.75,162.3,162.3,157.25,158.5,158.45,158.78,86270,13698353.8,2992,47161,54.67,6,2017,155.1750281394612,-0.014307931570762156,Slight or No change,153.411,166.074,140.747
2017-06-09,SONATSOFTW,EQ,158.45,160.3,162.0,157.65,160.25,160.4,160.16,130731,20938125.75,3004,57083,43.66,6,2017,155.33022014011829,0.012306721363206208,Slight or No change,154.121,167.18,141.063
2017-06-12,SONATSOFTW,EQ,160.4,159.0,161.0,156.0,156.2,156.3,157.29,125785,19785272.65,2410,81667,64.93,6,2017,155.3571647233428,-0.025561097256857845,Slight or No change,154.854,167.086,142.621
2017-06-13,SONATSOFTW,EQ,156.3,156.3,157.45,153.35,155.0,154.15,155.1,128496,19929365.65,2826,90286,70.26,6,2017,155.3238473550193,-0.013755598208573305,Slight or No change,155.436,166.581,144.291
2017-06-14,SONATSOFTW,EQ,154.15,153.1,154.75,149.0,153.35,152.7,151.89,246320,37413033.8,4519,144695,58.74,6,2017,155.19200264176536,-0.009406422315926144,Slight or No change,155.654,166.424,144.883
2017-06-15,SONATSOFTW,EQ,152.7,152.0,153.0,149.5,150.55,150.5,151.22,128005,19357193.1,3300,89141,69.64,6,2017,155.07259981550806,-0.014407334643090963,Slight or No change,155.714,166.348,145.081
2017-06-16,SONATSOFTW,EQ,150.5,152.0,163.85,150.6,157.05,158.05,156.84,560532,87913904.15,7569,250487,44.69,6,2017,155.37112580989177,0.050166112956810734,Slight or No change,156.389,166.249,146.53
2017-06-19,SONATSOFTW,EQ,158.05,158.05,158.35,153.1,153.8,153.95,155.23,179646,27886253.5,5050,100106,55.72,6,2017,155.32688137931945,-0.02594115786143636,Slight or No change,156.686,165.922,147.45
2017-06-20,SONATSOFTW,EQ,153.95,153.25,155.3,152.6,154.15,153.95,153.95,138448,21313807.3,4073,90121,65.09,6,2017,155.29461914012256,0.0,Slight or No change,157.043,165.328,148.757
